hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
City Hotel,Online TA,TA/TO,Transient,Same week,No Deposit,4219,507,951467.73,186552.76,7917,119.77810144584025,2.7790945721735008,0.026072529035316427,0.7821758710594928,0.12017065655368571,225.51972742356008,9.32
Resort Hotel,Groups,TA/TO,Transient-Party,3-6 months,Non Refund,40,2,5399.0,340.0,76,71.7375,171.0,0.0,0.025,0.05,134.975,9.17
Resort Hotel,Corporate,Direct,Transient,1-4 weeks,No Deposit,14,2,1304.5,544.0,31,56.82142857142857,15.571428571428571,0.21428571428571427,0.07142857142857142,0.14285714285714285,93.17857142857143,9.14
Resort Hotel,Groups,Direct,Transient,1-4 weeks,No Deposit,14,2,1153.99,36.0,26,42.02357142857143,15.214285714285714,0.14285714285714285,0.07142857142857142,0.14285714285714285,82.42785714285715,9.12
Resort Hotel,Complementary,TA/TO,Transient-Party,6-12 months,No Deposit,1,0,0.0,0.0,8,0.0,252.0,1.0,1.0,0.0,0.0,9.09
Resort Hotel,Groups,TA/TO,Transient,1-3 months,No Deposit,9,1,1788.65,0.0,30,53.28333333333333,67.0,0.0,1.0,0.1111111111111111,198.7388888888889,9.08
City Hotel,Groups,Corporate,Transient,6-12 months,No Deposit,92,2,16720.03,431.0,218,77.90586956521739,214.8804347826087,0.0,0.16304347826086957,0.021739130434782608,181.73945652173913,9.06
Resort Hotel,Direct,Corporate,Transient,Same week,No Deposit,40,6,2950.1,358.8,45,57.565,0.95,0.575,0.25,0.15,73.7525,9.04
Resort Hotel,Direct,Direct,Transient-Party,3-6 months,No Deposit,79,5,64400.2,4281.59,443,141.5451898734177,141.74683544303798,0.02531645569620253,0.7721518987341772,0.06329113924050633,815.1924050632911,8.96
City Hotel,Offline TA/TO,TA/TO,Transient-Party,1-4 weeks,No Deposit,498,68,90516.83,11712.5,1041,89.3156626506024,16.218875502008032,0.0823293172690763,0.19477911646586346,0.13654618473895583,181.76070281124498,8.9
City Hotel,Groups,TA/TO,Transient,Same week,No Deposit,55,8,7855.5,2578.8,107,73.79636363636364,2.1636363636363636,0.01818181818181818,0.36363636363636365,0.14545454545454545,142.8272727272727,8.83
